                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4228,                 52.101,                 1.1424,                0.62614,                0.64815,                0.65053,                0.29499,                 1.9343,                 1.3754,                 1.0638,               0.070652,              0.0032609,              0.0032609
                      1,                 2.1432,                 1.5845,                 1.0209,                0.72782,                0.69337,                 0.7557,                 0.3336,                 2.2186,                 1.4054,                 1.1052,               0.040587,              0.0065289,              0.0065289
                      2,                  2.146,                 1.6491,                 1.0132,                 0.8937,                 0.7963,                0.85041,                0.36065,                  2.206,                 1.1054,                 1.0296,               0.010456,               0.009731,               0.009731
                      3,                 2.2217,                 1.7478,                 1.0686,                0.64201,                0.74074,                0.69451,                0.25714,                 2.2743,                  5.574,                 1.0767,               0.009703,               0.009703,               0.009703
                      4,                 2.2107,                 1.4653,                 1.0696,                0.72734,                0.69169,                0.76001,                0.33694,                 1.9999,                 1.5884,                 1.0029,               0.009703,               0.009703,               0.009703
                      5,                 2.1458,                 1.2696,                 1.0203,                0.87956,                0.81147,                0.85967,                0.36692,                 2.0876,                 1.3988,                 1.0076,               0.009604,               0.009604,               0.009604
                      6,                 2.2063,                 1.1495,                 1.0342,                0.78412,                0.74074,                 0.8085,                0.36197,                 2.1036,                 1.4077,                 1.0134,               0.009505,               0.009505,               0.009505
                      7,                 2.1333,                 1.1499,                  1.056,                0.81637,                0.74095,                0.81315,                0.38691,                 1.9827,                 1.1428,                 1.0275,               0.009406,               0.009406,               0.009406
                      8,                 2.1406,                 1.0889,                 1.0368,                0.81891,                0.74074,                0.83139,                0.34886,                 1.9699,                  1.154,                0.99831,               0.009307,               0.009307,               0.009307
                      9,                 2.0492,                 1.0846,                 1.0141,                0.95717,                0.82782,                0.88421,                0.37151,                 2.1136,                 1.0036,                 1.0038,               0.009208,               0.009208,               0.009208
                     10,                 2.1074,                 1.0588,                 1.0179,                0.83166,                 0.7963,                 0.7995,                0.33865,                 2.0335,                  1.214,                 1.0074,               0.009109,               0.009109,               0.009109
                     11,                 2.0767,                 1.0625,                 1.0044,                0.94247,                0.68519,                0.79049,                0.38321,                 1.9817,                 1.2661,                0.99253,                0.00901,                0.00901,                0.00901
                     12,                 2.0175,                0.99321,                 1.0059,                  0.816,                0.83333,                0.85122,                0.36228,                 1.8404,                0.96285,                0.99358,               0.008911,               0.008911,               0.008911
                     13,                 2.0115,                 1.0247,                0.99844,                 0.7957,                0.74074,                0.79858,                0.31402,                 1.9346,                 1.1419,                 1.0118,               0.008812,               0.008812,               0.008812
                     14,                 1.9791,                0.95031,                 1.0166,                0.89426,                0.78314,                0.88158,                0.37127,                  2.241,                 1.1066,                 1.0199,               0.008713,               0.008713,               0.008713
                     15,                 1.9269,                  0.984,                 1.0104,                0.93703,                0.82679,                0.88658,                0.39452,                 1.8874,                0.97856,                 0.9831,               0.008614,               0.008614,               0.008614
                     16,                 1.9403,                 1.0023,                 1.0407,                0.82484,                0.90741,                0.87876,                0.40185,                 2.0683,                 1.1644,                  1.002,               0.008515,               0.008515,               0.008515
                     17,                 1.8877,                0.91105,                 1.0129,                0.87793,                0.83333,                0.87599,                0.35814,                 2.2234,                 1.2314,                 1.0053,               0.008416,               0.008416,               0.008416
                     18,                 1.9216,                0.89621,                 1.0056,                0.86661,                0.72189,                0.81065,                0.35482,                  2.051,                 1.1738,                0.99109,               0.008317,               0.008317,               0.008317
                     19,                 1.8227,                0.94277,                0.97994,                0.88677,                0.96296,                0.91461,                0.40927,                 1.8442,                0.87802,                0.97731,               0.008218,               0.008218,               0.008218
                     20,                 1.9002,                0.92049,                 1.0579,                0.95724,                0.82913,                0.89198,                0.40047,                 1.9257,                0.93644,                0.98956,               0.008119,               0.008119,               0.008119
                     21,                 1.8446,                0.89035,                0.97023,                0.84975,                0.88889,                0.94023,                0.38285,                 1.8648,                0.87719,                0.97621,                0.00802,                0.00802,                0.00802
                     22,                 1.7982,                0.85933,                0.99914,                0.90819,                0.87037,                0.94066,                0.43167,                 1.8271,                0.88999,                0.96885,               0.007921,               0.007921,               0.007921
                     23,                 1.7994,                0.87011,                0.98633,                0.94304,                0.91992,                0.97763,                0.45866,                 1.8071,                0.80474,                0.96139,               0.007822,               0.007822,               0.007822
                     24,                 1.8133,                0.82474,                0.95537,                0.92062,                0.92593,                0.97116,                0.40106,                 1.9862,                0.77668,                0.97308,               0.007723,               0.007723,               0.007723
                     25,                 1.7956,                 0.8242,                 1.0003,                0.89509,                0.94801,                0.97466,                0.46694,                 1.8036,                0.78451,                0.96062,               0.007624,               0.007624,               0.007624
                     26,                 1.7068,                0.82392,                0.97577,                0.97875,                0.90741,                0.94778,                0.45422,                 1.8609,                0.80991,                0.95689,               0.007525,               0.007525,               0.007525
                     27,                 1.7651,                0.81452,                0.97158,                0.94294,                0.91822,                0.94552,                0.41097,                 1.7038,                0.95328,                0.95323,               0.007426,               0.007426,               0.007426
                     28,                  1.731,                0.79374,                0.98272,                0.87759,                0.94444,                0.95322,                0.45546,                 2.0647,                0.88659,                 0.9821,               0.007327,               0.007327,               0.007327
                     29,                 1.7043,                0.80706,                0.94566,                0.93798,                0.88889,                0.90845,                0.40372,                  2.067,                0.92474,                 1.0009,               0.007228,               0.007228,               0.007228
                     30,                 1.7489,                0.80914,                0.97089,                0.90019,                0.92593,                0.94895,                0.48632,                 1.6767,                 0.9055,                0.95148,               0.007129,               0.007129,               0.007129
                     31,                 1.7283,                0.82366,                0.98382,                0.84657,                0.94444,                0.93368,                0.44517,                 1.7265,                 0.7895,                0.94632,                0.00703,                0.00703,                0.00703
                     32,                 1.6351,                0.77209,                0.93259,                 0.9009,                0.92593,                0.93909,                 0.4182,                 1.8679,                0.85189,                 0.9628,               0.006931,               0.006931,               0.006931
                     33,                 1.6446,                 0.7502,                0.95293,                0.91949,                0.92593,                0.97841,                0.50588,                 1.9953,                0.81086,                0.99885,               0.006832,               0.006832,               0.006832
                     34,                 1.6574,                0.75205,                0.92465,                 0.9396,                0.90741,                 0.9232,                0.47133,                 1.8613,                0.84639,                0.97092,               0.006733,               0.006733,               0.006733
                     35,                 1.6136,                0.73456,                0.93774,                0.96093,                0.91093,                0.97922,                0.51283,                 1.6287,                0.76352,                0.94522,               0.006634,               0.006634,               0.006634
                     36,                 1.5792,                0.71687,                0.93349,                0.97704,                 0.7963,                0.92526,                0.47068,                 1.7358,                0.90116,                0.94595,               0.006535,               0.006535,               0.006535
                     37,                 1.6359,                0.74211,                0.94523,                0.94699,                 0.9926,                0.99205,                  0.519,                 1.4746,                0.62313,                0.93045,               0.006436,               0.006436,               0.006436
                     38,                 1.5741,                0.74899,                0.96198,                0.98838,                0.92593,                0.98781,                0.52162,                 1.6343,                0.72142,                0.93119,               0.006337,               0.006337,               0.006337
                     39,                 1.6157,                0.70673,                0.94502,                0.96207,                0.93946,                0.97966,                0.49497,                 1.6121,                0.74444,                0.93321,               0.006238,               0.006238,               0.006238
                     40,                 1.6068,                0.74607,                0.93405,                0.96171,                0.93041,                0.97591,                0.48061,                 1.8602,                 0.7744,                0.96615,               0.006139,               0.006139,               0.006139
                     41,                 1.5947,                0.70888,                0.93813,                0.91408,                0.98508,                0.98631,                 0.4875,                 1.7304,                0.81204,                0.95516,                0.00604,                0.00604,                0.00604
                     42,                 1.6144,                0.71446,                0.94065,                0.92974,                0.98018,                0.98914,                0.47505,                 1.6918,                0.70563,                 0.9476,               0.005941,               0.005941,               0.005941
                     43,                 1.5464,                0.74165,                0.92962,                0.91226,                 0.9627,                 0.9754,                0.52329,                 1.6593,                0.82026,                 0.9413,               0.005842,               0.005842,               0.005842
                     44,                 1.5539,                0.70168,                0.92371,                0.95812,                0.92593,                0.97509,                0.48432,                 1.7884,                0.76793,                0.95606,               0.005743,               0.005743,               0.005743
                     45,                 1.5147,                0.69604,                0.93181,                0.97717,                0.87037,                   0.95,                0.48144,                  1.639,                0.77877,                0.93792,               0.005644,               0.005644,               0.005644
                     46,                 1.5506,                0.69956,                0.91431,                0.99834,                0.92593,                0.96741,                0.48739,                 1.6692,                0.74202,                0.94564,               0.005545,               0.005545,               0.005545
                     47,                  1.526,                  0.694,                0.90826,                0.93138,                0.92593,                 0.9529,                0.49599,                 1.6713,                0.69532,                  0.944,               0.005446,               0.005446,               0.005446
                     48,                 1.5024,                 0.6752,                0.90402,                0.99119,                0.90741,                0.97481,                0.52928,                 1.4647,                0.62657,                0.92103,               0.005347,               0.005347,               0.005347
                     49,                 1.4663,                0.66993,                0.93024,                0.98101,                0.95648,                0.97658,                0.50983,                 1.6431,                   0.67,                0.94069,               0.005248,               0.005248,               0.005248
                     50,                  1.503,                0.67573,                0.93073,                0.96074,                0.90628,                0.96343,                0.54846,                 1.6045,                0.75202,                0.93146,               0.005149,               0.005149,               0.005149
                     51,                 1.4509,                0.67574,                0.88494,                0.95519,                0.88889,                0.97108,                 0.5211,                 1.7619,                0.71787,                 0.9329,                0.00505,                0.00505,                0.00505
                     52,                 1.4253,                0.63921,                 0.8858,                 0.9264,                0.94444,                0.96886,                0.52588,                 1.7107,                0.72552,                0.93556,               0.004951,               0.004951,               0.004951
                     53,                  1.416,                0.65575,                0.90204,                0.92824,                 0.9583,                0.96973,                0.53631,                  1.595,                0.68103,                0.92276,               0.004852,               0.004852,               0.004852
                     54,                 1.4137,                0.64243,                0.89326,                 0.9811,                0.96118,                0.97701,                0.53709,                 1.6191,                0.65242,                0.93109,               0.004753,               0.004753,               0.004753
                     55,                 1.4143,                0.66848,                0.91143,                0.96352,                0.92593,                0.96934,                0.53959,                 1.6267,                0.68445,                 0.9371,               0.004654,               0.004654,               0.004654
                     56,                 1.4024,                0.64745,                0.89318,                0.96214,                0.94119,                0.95829,                0.54235,                 1.5934,                0.71801,                0.93117,               0.004555,               0.004555,               0.004555
                     57,                 1.4185,                0.66851,                 0.8857,                0.92615,                0.92895,                0.97072,                0.54244,                 1.5906,                0.65204,                0.92119,               0.004456,               0.004456,               0.004456
                     58,                 1.4344,                0.67656,                0.92111,                0.90931,                0.94444,                0.95602,                0.52503,                 1.5546,                0.67259,                0.92875,               0.004357,               0.004357,               0.004357
                     59,                 1.3707,                0.64186,                0.89026,                0.92515,                0.94444,                0.95899,                0.56045,                 1.5893,                0.67083,                0.92683,               0.004258,               0.004258,               0.004258
                     60,                 1.3854,                0.65137,                0.89581,                0.96142,                 0.9229,                0.96051,                 0.5412,                 1.6549,                0.72452,                0.92899,               0.004159,               0.004159,               0.004159
                     61,                 1.3461,                0.63179,                0.89034,                0.97905,                0.86542,                0.95555,                0.56969,                 1.4996,                0.74511,                0.92018,                0.00406,                0.00406,                0.00406
                     62,                 1.3273,                0.62024,                0.87173,                0.96216,                0.94167,                0.97316,                0.57391,                 1.4416,                0.71683,                0.91484,               0.003961,               0.003961,               0.003961
                     63,                 1.3138,                0.62482,                0.87834,                0.96633,                0.92593,                0.97952,                0.55165,                 1.5839,                0.67976,                0.92265,               0.003862,               0.003862,               0.003862
                     64,                 1.3076,                0.61377,                0.88587,                0.94433,                0.94236,                0.95502,                0.51465,                  1.599,                0.71385,                 0.9259,               0.003763,               0.003763,               0.003763
                     65,                 1.3337,                0.64604,                0.89268,                0.90661,                0.94444,                0.95353,                0.52578,                 1.5843,                0.72687,                0.91956,               0.003664,               0.003664,               0.003664
                     66,                 1.3172,                0.61702,                0.89604,                 0.9926,                0.92593,                0.96632,                0.53781,                 1.5138,                0.66804,                0.92358,               0.003565,               0.003565,               0.003565
                     67,                  1.286,                0.59179,                0.87934,                0.95756,                0.88889,                0.96534,                 0.5446,                 1.4338,                0.72644,                0.91211,               0.003466,               0.003466,               0.003466
                     68,                 1.2595,                0.59329,                0.87571,                0.92809,                0.95617,                0.97145,                0.55477,                 1.4447,                0.67635,                0.90748,               0.003367,               0.003367,               0.003367
