                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.2581,                0.58059,                0.87231,                0.95591,                0.94444,                0.97228,                0.54446,                 1.5088,                0.73596,                0.91244,               0.003268,               0.003268,               0.003268
                     70,                 1.2714,                0.58202,                0.85998,                 0.9947,                0.92593,                0.98128,                0.55759,                 1.5276,                0.66468,                0.90997,               0.003169,               0.003169,               0.003169
                     71,                 1.2524,                0.57865,                 0.8633,                 0.9803,                0.96296,                0.98038,                0.57381,                  1.542,                0.63741,                0.91128,                0.00307,                0.00307,                0.00307
                     72,                 1.2055,                0.56696,                0.85907,                      1,                0.92474,                0.97984,                0.57217,                 1.4718,                0.59261,                0.91312,               0.002971,               0.002971,               0.002971
                     73,                 1.2091,                0.57262,                0.86107,                0.96282,                0.95917,                0.98104,                0.56789,                 1.4681,                0.61667,                0.90604,               0.002872,               0.002872,               0.002872
                     74,                 1.2012,                0.57901,                0.87237,                0.97736,                0.94444,                0.97968,                0.58466,                 1.4861,                0.67859,                0.91081,               0.002773,               0.002773,               0.002773
                     75,                 1.2071,                0.57846,                0.87106,                0.98106,                0.95906,                0.98827,                0.57175,                 1.5162,                0.62471,                0.91149,               0.002674,               0.002674,               0.002674
                     76,                 1.2103,                0.56795,                0.85957,                 0.9411,                0.92593,                0.96544,                0.58322,                 1.5172,                0.62572,                0.91234,               0.002575,               0.002575,               0.002575
                     77,                 1.1758,                0.55705,                0.85966,                0.94421,                0.94031,                0.97555,                0.59368,                 1.4909,                0.61872,                0.91366,               0.002476,               0.002476,               0.002476
                     78,                 1.1416,                0.53186,                  0.864,                0.93169,                0.92593,                 0.9798,                0.58456,                 1.5196,                  0.627,                0.91459,               0.002377,               0.002377,               0.002377
                     79,                 1.1374,                0.55017,                0.85799,                0.92657,                0.94444,                0.97965,                0.54398,                 1.4838,                0.62223,                0.91134,               0.002278,               0.002278,               0.002278
                     80,                 1.1378,                0.54322,                0.85938,                0.98066,                0.93896,                0.97839,                0.59577,                 1.5495,                0.64937,                0.91293,               0.002179,               0.002179,               0.002179
                     81,                 1.1166,                0.54162,                0.84537,                0.98074,                0.94282,                0.98108,                 0.5552,                 1.5307,                0.63835,                0.91179,                0.00208,                0.00208,                0.00208
                     82,                 1.1419,                 0.5543,                0.86011,                 0.9713,                0.94444,                0.97993,                0.57332,                 1.4244,                0.60774,                0.90448,               0.001981,               0.001981,               0.001981
                     83,                 1.1144,                0.52921,                0.84231,                0.97269,                0.94444,                0.97973,                0.57432,                 1.3901,                0.57687,                0.90354,               0.001882,               0.001882,               0.001882
                     84,                 1.1022,                0.52647,                0.85302,                0.97725,                0.94444,                0.97836,                0.58175,                 1.3833,                0.61306,                0.90088,               0.001783,               0.001783,               0.001783
                     85,                 1.0806,                0.51976,                0.84471,                0.97681,                0.94444,                0.97684,                0.59112,                 1.3976,                0.63153,                0.89911,               0.001684,               0.001684,               0.001684
                     86,                 1.0833,                0.52269,                0.85574,                0.96223,                0.94444,                0.98114,                0.59086,                 1.4287,                0.62822,                0.90276,               0.001585,               0.001585,               0.001585
                     87,                 1.0704,                0.50822,                0.85006,                0.97958,                0.94444,                0.98303,                0.58376,                 1.3882,                0.58842,                 0.8998,               0.001486,               0.001486,               0.001486
                     88,                 1.0746,                0.51617,                0.84801,                0.98074,                0.94319,                0.98229,                0.57887,                 1.4667,                0.58557,                0.90338,               0.001387,               0.001387,               0.001387
                     89,                 1.0299,                0.49744,                0.85571,                0.97318,                0.94444,                0.98157,                 0.5809,                 1.3998,                0.58064,                0.90016,               0.001288,               0.001288,               0.001288
                     90,                 1.0144,                0.50242,                0.84026,                0.98074,                0.94318,                0.97092,                0.57693,                 1.4823,                0.64903,                0.90228,               0.001189,               0.001189,               0.001189
                     91,                0.98844,                0.49186,                0.84586,                0.98069,                 0.9407,                0.97001,                0.58885,                 1.3746,                0.60097,                0.89738,                0.00109,                0.00109,                0.00109
                     92,                0.93995,                0.47103,                0.83507,                0.98068,                0.94019,                0.98191,                0.59517,                 1.4243,                0.61116,                0.90163,               0.000991,               0.000991,               0.000991
                     93,                0.95537,                0.47197,                0.84521,                0.96198,                0.93709,                0.97782,                0.58294,                 1.4219,                0.59855,                0.90188,               0.000892,               0.000892,               0.000892
                     94,                0.95619,                0.47362,                 0.8532,                 0.9803,                0.92165,                0.97957,                0.59407,                 1.3554,                 0.5925,                0.89982,               0.000793,               0.000793,               0.000793
                     95,                 0.9606,                0.47732,                0.84164,                0.98068,                0.93997,                0.98034,                0.59223,                 1.3874,                0.61123,                0.89619,               0.000694,               0.000694,               0.000694
                     96,                0.91969,                0.46869,                0.82692,                0.95853,                0.92593,                0.97939,                0.59303,                 1.4387,                0.60043,                0.89888,               0.000595,               0.000595,               0.000595
                     97,                0.94591,                0.47134,                0.83013,                 0.9622,                 0.9429,                0.98197,                0.60654,                 1.3655,                0.55831,                0.89627,               0.000496,               0.000496,               0.000496
                     98,                0.90007,                0.44978,                0.83111,                0.96222,                0.94339,                0.97932,                0.59831,                 1.3491,                0.58126,                0.89233,               0.000397,               0.000397,               0.000397
                     99,                0.89689,                0.46219,                0.83563,                0.98075,                0.94345,                0.96823,                0.61107,                 1.3244,                0.56175,                0.89177,               0.000298,               0.000298,               0.000298
