,detect_boxes_values,detect_name_tag_count
972,[[      486.5       670.5          17          11]],1
973,[[      488.5         662          17          12]],1
974,[[      491.5       652.5          19          11]],1
975,[[        498       634.5          20          13]],1
976,[[      502.5         623          21          14]],1
977,[[      510.5         607          21          14]],1
978,[[        518         588          22          16]],1
979,[[        523         570          22          16]],1
980,[[        533       539.5          22          15]],1
981,[[      540.5         521          23          16]],1
982,[[        549         492          24          18]],1
983,[[        555       470.5          24          17]],1
984,[[      569.5       437.5          21          13]],1
985,[[        579         408          20          12]],1
1011,[[      523.5        29.5          15          13]],1
1012,[[      532.5          34          17          12]],1
1013,[[      537.5        39.5          17          13]],1
1014,[[        541        45.5          18          13]],1
1015,[[        547        52.5          20          15]],1
1016,[[        551        55.5          18          15]],1
1017,[[        555        60.5          18          13]],1
1018,[[        557          70          18          12]],1
1019,[[        556          78          18          12]],1
1020,[[        554        90.5          18          13]],1
1021,[[        552        98.5          18          13]],1
1022,[[        552       113.5          20          15]],1
1023,[[        553       126.5          20          15]],1
1024,[[      560.5         150          23          16]],1
1025,[[        567         164          24          16]],1
1026,[[      575.5         184          23          16]],1
1027,[[        578       209.5          18          11]],1
1028,[[        580       230.5          18          13]],1
1057,[[      507.5       705.5          17          13]],1
1058,[[        509       699.5          18          13]],1
1059,[[        507       688.5          20          15]],1
1060,[[      503.5       679.5          21          15]],1
1061,[[        501       668.5          22          15]],1
1062,[[      501.5       655.5          23          17]],1
1063,[[      504.5       637.5          23          17]],1
1064,[[        509       622.5          24          17]],1
1065,[[      516.5         605          25          18]],1
1066,[[      521.5       591.5          25          19]],1
1067,[[      527.5       565.5          25          21]],1
1068,[[      533.5       532.5          25          21]],1
1069,[[      541.5         500          25          24]],1
1070,[[      545.5         479          27          22]],1
1071,[[        551       445.5          24          19]],1
1072,[[      556.5       420.5          25          19]],1
1073,[[      566.5       385.5          25          19]],1
1074,[[        571       364.5          26          19]],1
1101,[[      690.5          70           7          14]],1
1102,[[      690.5          73           9          16]],1
1103,[[      688.5          79          11          18]],1
1104,[[        689          85          12          20]],1
1105,"[[      690.5          89          15          20]
 [      653.5       127.5          13          17]]",2
1106,[[        689        91.5          16          21]],1
1107,[[      680.5        93.5          17          19]],1
1108,[[        667        93.5          18          19]],1
1109,[[        658          93          18          20]],1
1110,[[        651          93          18          20]],1
1111,[[      637.5          95          21          20]],1
1112,[[      622.5         103          21          20]],1
1113,[[        608         111          22          22]],1
1114,[[      601.5       118.5          21          23]],1
1115,[[        594       129.5          24          23]],1
1116,[[      586.5         144          25          20]],1
1117,[[        579         154          24          20]],1
1118,[[      574.5         169          25          18]],1
1119,[[        572         189          28          20]],1
1120,[[        571         207          28          20]],1
1121,[[        574         230          26          18]],1
1122,[[      581.5       259.5          23          15]],1
1123,[[        584         278          20          12]],1
1151,[[      507.5       715.5          15           9]],1
1152,[[      507.5       711.5          17          13]],1
1153,[[        510         705          20          14]],1
1154,[[      510.5       697.5          21          15]],1
1155,[[      508.5         691          21          14]],1
1156,[[        502         680          22          16]],1
1157,[[      498.5       670.5          21          15]],1
1158,[[      498.5       663.5          21          15]],1
1159,[[        502       649.5          24          17]],1
1160,[[      507.5         639          25          18]],1
1161,[[        518       623.5          26          19]],1
1162,[[      525.5         607          25          18]],1
1163,[[      529.5         595          25          18]],1
1164,[[      532.5       568.5          23          19]],1
1165,[[        534         539          24          20]],1
1166,[[      538.5       510.5          25          21]],1
1167,[[        542       489.5          26          21]],1
1168,[[        544       469.5          24          19]],1
1169,[[        553       434.5          24          15]],1
1170,[[        560         413          20          14]],1
1171,[[      563.5       383.5          21          13]],1
1196,[[      526.5          40          19          16]],1
1197,[[      533.5          44          21          16]],1
1198,[[      544.5          53          23          16]],1
1199,"[[        552          60          22          16]
 [      706.5         144           9          12]]",2
1200,[[      553.5          66          23          16]],1
1201,[[        553          79          20          16]],1
1202,[[        552        89.5          22          17]],1
1203,[[      549.5       102.5          23          17]],1
1204,[[      549.5       112.5          25          17]],1
1205,[[      552.5         132          25          18]],1
1206,[[        558         156          22          16]],1
1207,[[      565.5       173.5          25          17]],1
1208,[[      572.5       198.5          25          17]],1
1209,[[      574.5       216.5          23          15]],1
1210,[[      579.5         251          13          12]],1
1235,[[      493.5       705.5          13           9]],1
1236,[[        495       703.5          14           9]],1
1237,[[      498.5         697          11          10]],1
1238,[[      502.5         692          15          12]],1
1239,[[      503.5       684.5          13          11]],1
1240,[[      501.5       678.5          13          11]],1
1241,[[      493.5       665.5          13           9]],1
1242,[[      485.5       658.5          11           9]],1
1243,[[      477.5       649.5          13           9]],1
