                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4462,                0.63187,                0.89582,                0.93548,                0.92593,                0.95238,                 0.5254,                 1.6005,                0.68604,                0.92732,               0.003268,               0.003268,               0.003268
                     36,                 1.4158,                0.64296,                0.89307,                0.93497,                0.90741,                0.95687,                0.53613,                 1.5399,                0.61262,                0.92382,                0.00307,                0.00307,                0.00307
                     37,                 1.4481,                 0.6328,                0.89445,                0.89441,                 0.9412,                0.96569,                0.55027,                 1.6857,                0.62959,                 0.9341,               0.002872,               0.002872,               0.002872
                     38,                 1.4112,                0.63909,                0.89927,                0.92826,                0.95847,                0.97917,                0.53282,                 1.7025,                0.62428,                0.93594,               0.002674,               0.002674,               0.002674
                     39,                 1.3993,                0.59895,                0.88496,                0.92699,                 0.9406,                0.97711,                0.54807,                 1.6614,                0.68681,                0.92939,               0.002476,               0.002476,               0.002476
                     40,                  1.362,                0.61817,                0.89473,                0.92419,                0.90305,                0.96996,                0.56499,                 1.5809,                0.74983,                0.92312,               0.002278,               0.002278,               0.002278
                     41,                 1.3285,                0.60366,                0.87868,                0.89494,                0.94656,                0.96587,                0.49721,                  1.708,                 0.7432,                0.93242,                0.00208,                0.00208,                0.00208
                     42,                 1.2982,                0.58787,                0.87445,                0.91215,                0.92593,                0.97065,                0.53296,                  1.614,                 0.7005,                 0.9302,               0.001882,               0.001882,               0.001882
                     43,                 1.2809,                0.57934,                0.87464,                0.92703,                0.94114,                0.97362,                0.53931,                 1.5588,                0.65796,                 0.9235,               0.001684,               0.001684,               0.001684
                     44,                 1.2836,                0.58322,                0.90138,                0.95328,                0.90741,                0.97279,                0.55822,                 1.5415,                0.64936,                0.91494,               0.001486,               0.001486,               0.001486
                     45,                  1.211,                 0.5299,                0.86857,                0.93213,                0.92593,                 0.9748,                0.55881,                 1.6557,                0.70295,                0.92716,               0.001288,               0.001288,               0.001288
                     46,                 1.2456,                0.54016,                0.86876,                0.94229,                0.90708,                 0.9677,                0.56263,                 1.5305,                0.67851,                0.91185,                0.00109,                0.00109,                0.00109
                     47,                 1.2023,                0.53372,                0.87214,                0.89492,                0.94633,                0.96012,                0.55569,                 1.4965,                0.67153,                0.91428,               0.000892,               0.000892,               0.000892
                     48,                 1.1594,                0.52685,                0.86671,                0.92542,                0.91917,                0.97113,                0.57631,                 1.4822,                0.64904,                0.91193,               0.000694,               0.000694,               0.000694
                     49,                 1.1483,                0.51484,                 0.8649,                0.91164,                 0.9554,                0.97305,                0.57454,                 1.5142,                0.63646,                0.91213,               0.000496,               0.000496,               0.000496
